run_no,loc,x_1,y_1,x_2,y_2,pix_dist,camera
1,C,4425.0,540,4464.0,540,39.0,Left
1,D,4222.0,1690,4258.0,1690,36.0,Left
1,E,4254.0,2890,4285.0,2890,31.0,Left
1,C,2346.0,551,2376.0,551,30.0,Middle
1,D,2250.0,1600,2282.0,1600,32.0,Middle
1,E,2290.0,2641,2318.0,2641,28.0,Middle
1,C,2694.0,511,2738.0,511,44.0,Middle Left
1,D,2586.0,1555,2619.0,1555,33.0,Middle Left
1,E,2597.0,2591,2625.0,2591,28.0,Middle Left
1,C,309.0,453,357.0,453,48.0,Right
1,D,219.0,1595,260.0,1595,41.0,Right
1,E,224.0,2820,255.0,2820,31.0,Right
2,C,4425.0,540,4464.0,540,39.0,Left
2,D,4222.0,1690,4258.0,1690,36.0,Left
2,E,4256.0,2892,4286.0,2892,30.0,Left
2,C,2346.0,550,2376.0,550,30.0,Middle
2,D,2250.0,1600,2282.0,1600,32.0,Middle
2,E,2291.0,2642,2318.0,2642,27.0,Middle
2,C,2695.0,510,2725.0,510,30.0,Middle Left
2,D,2586.0,1556,2618.0,1556,32.0,Middle Left
2,E,2596.0,2592,2625.0,2592,29.0,Middle Left
2,C,312.0,450,359.0,450,47.0,Right
2,D,220.0,1596,260.0,1596,40.0,Right
2,E,224.0,2823,255.0,2823,31.0,Right
3,C,4426.0,541,4464.0,541,38.0,Left
3,D,4223.0,1691,4257.0,1691,34.0,Left
3,E,4256.0,2892,4286.0,2892,30.0,Left
3,C,2346.0,551,2376.0,551,30.0,Middle
3,D,2250.0,1600,2282.0,1600,32.0,Middle
3,E,2291.0,2641,2318.0,2641,27.0,Middle
3,C,2696.0,504,2726.0,504,30.0,Middle Left
3,D,2586.0,1556,2619.0,1556,33.0,Middle Left
3,E,2596.0,2595,2626.0,2595,30.0,Middle Left
3,C,313.0,448,363.0,448,50.0,Right
3,D,219.0,1595,259.0,1595,40.0,Right
3,E,223.0,2820,258.0,2820,35.0,Right
